id;lemmaword;meat;milky;green;fish;seafood;gluten;flour;pig;mushroom;vegan
121;рассол;-;-;-;-;-;-;-;-;-;+
122;крапива;-;-;+;-;-;-;-;-;-;+
123;маслина;-;-;-;-;-;-;-;-;-;+
124;лисичка;-;-;-;-;-;-;-;-;+;+
125;ботва;-;-;+;-;-;-;-;-;-;+
126;простокваш;-;+;-;-;-;-;-;-;-;-
127;малин;-;-;-;-;-;-;-;-;-;+
128;подсластитель;-;-;-;-;-;-;-;-;-;+
129;сахар;-;-;-;-;-;-;-;-;-;+
130;бекон;+;-;-;-;-;-;-;-;-;-
131;пажитник;-;-;-;-;-;-;-;-;-;+
132;масал;-;-;-;-;-;-;-;-;-;+
133;корень;-;-;-;-;-;-;-;-;-;+
134;фунчез;-;-;-;-;-;-;-;-;-;+
135;тофа;-;-;-;-;-;-;-;-;-;+
136;водоросль;-;-;-;-;-;-;-;-;-;+
137;цуккиня;-;-;-;-;-;-;-;-;-;+
138;хлопья;-;-;-;-;-;+;-;-;-;+
139;грудинка;+;-;-;-;-;-;-;-;-;-
140;колбаса;+;-;-;-;-;+;-;+;-;-
141;трава;-;-;+;-;-;-;-;-;-;+
142;пиво;-;-;-;-;-;+;-;-;-;+
143;ребро;+;-;-;-;-;-;-;+;-;-
144;базилик;-;-;+;-;-;-;-;-;-;+
145;апельсин;-;-;-;-;-;-;-;-;-;+
146;груздь;-;-;-;-;-;-;-;-;-;+
147;земляник;-;-;-;-;-;-;-;-;-;+
148;пюре;-;-;-;-;-;-;-;-;-;+
149;маш;-;-;-;-;-;-;-;-;-;+
150;кураг;-;-;-;-;-;-;-;-;-;+
151;изюм;-;-;-;-;-;-;-;-;-;+
152;пастром;+;-;-;-;-;+;-;-;-;-
153;творог;-;+;-;-;-;-;-;-;-;-
154;ветчина;+;-;-;-;-;+;-;+;-;-
155;сода;-;-;-;-;-;-;-;-;-;+
156;кресс-салата;-;-;+;-;-;-;-;-;-;+
157;дрожжи;-;-;-;-;-;-;+;-;-;+
158;тимьянин;-;-;-;-;-;-;-;-;-;+
159;скумбрий;-;-;-;+;-;-;-;-;-;-
160;желтка;-;-;-;-;-;-;-;-;-;+
161;сельдь;-;-;-;+;-;-;-;-;-;-
162;ванилин;-;-;-;-;-;-;-;-;-;+
163;абрикос;-;-;-;-;-;-;-;-;-;+
164;баклажан;-;-;-;-;-;-;-;-;-;+
165;какао-порошок;-;-;-;-;-;-;-;-;-;+
166;варенье;-;-;-;-;-;-;-;-;-;+
167;хка;-;-;-;+;-;-;-;-;-;-
168;треск;-;-;-;+;-;-;-;-;-;-
169;груша;-;-;-;-;-;-;-;-;-;+
170;мед;-;-;-;-;-;-;-;-;-;+
171;кукурузный;-;-;-;-;-;-;-;-;-;+
172;майонез;-;-;-;-;-;-;-;-;-;+
173;тесто;-;-;-;-;-;+;+;-;-;-
174;батон;-;-;-;-;-;+;+;-;-;-
175;патиссона;-;-;-;-;-;-;-;-;-;+
176;сайр;-;-;-;+;-;-;-;-;-;-
177;банан;-;-;-;-;-;-;-;-;-;+
178;смесь;-;-;-;-;-;-;-;-;-;+
179;бадьянин;-;-;-;-;-;-;-;-;-;+
180;репа;-;-;-;-;-;-;-;-;-;+
181;консервы;-;-;-;-;-;-;-;-;-;+
182;цыплята;+;-;-;-;-;-;-;-;-;-
183;трюфля;-;-;-;-;-;-;-;-;-;+
184;дайкон;-;-;-;-;-;-;-;-;-;+
185;витамин;-;-;-;-;-;-;-;-;-;+
186;телятина;+;-;-;-;-;-;-;-;-;-
187;красноперка;-;-;-;+;-;-;-;-;-;-
188;сазан;-;-;-;+;-;-;-;-;-;-
189;урюк;-;-;-;-;-;-;-;-;-;+
190;крылышко;+;-;-;-;-;-;-;-;-;-
191;бамия;-;-;-;+;-;-;-;-;-;-
192;язык;+;-;-;-;-;-;-;-;-;-
193;опята;-;-;-;-;-;-;-;-;-;+
194;лук-шалот;-;-;-;-;-;-;-;-;-;+
195;буженин;+;-;-;-;-;-;-;-;-;-
196;розмарин;-;-;-;-;-;-;-;-;-;+
197;спарж;-;-;-;-;-;-;-;-;-;+
198;крылышка;+;-;-;-;-;-;-;-;-;-
199;карп;-;-;-;+;-;-;-;-;-;-
200;щука;-;-;-;+;-;-;-;-;-;-
201;биокефир;-;+;-;-;-;-;-;-;-;-
202;отрубь;-;-;-;-;-;-;-;-;-;+
203;сахарозаменитель;-;-;-;-;-;-;-;-;-;+
204;вермишель;-;-;-;-;-;+;+;-;-;-
205;блюдо;-;-;-;-;-;-;-;-;-;+
206;цукиня;-;-;-;-;-;-;-;-;-;+
207;активиа;-;+;-;-;-;-;-;-;-;-
208;клетчатка;-;-;-;-;-;+;-;-;-;+
209;гвоздик;-;-;-;-;-;-;-;-;-;+
210;сердце;+;-;-;-;-;-;-;-;-;-
211;папоротник;-;-;+;-;-;-;-;-;-;+
212;сибас;-;-;-;+;-;-;-;-;-;-
213;сулугуень;-;+;-;-;-;-;-;-;-;-
214;горчица-семя;-;-;-;-;-;-;-;-;-;+
215;мясо;+;-;-;-;-;-;-;+;-;-
216;рукол;-;-;-;-;-;-;-;-;-;+
217;разрыхлитель;-;-;-;-;-;-;-;-;-;+
218;протеин;-;-;-;-;-;-;-;-;-;+
219;какао;-;-;-;-;-;-;-;-;-;+
