id;name;weight;lemmawordid;dishid
1684;Лук репчатый;50;4;206
1685;Перец сладкий;80;21;206
1686;Помидоры;80;5;206
1687;Масло подсолнечное;10;8;206
1688;Соль поваренная пищевая;3;48;206
1689;Вода;300;7;206
1690;Какао-порошок;5;165;207
1691;Варенье из малины;10;166;207
1692;Чеснок;5;11;207
1693;Курица филе, без кожи;120;15;207
1694;Картофель;1000;2;208
1695;Масло подсолнечное;20;8;208
1696;Капуста цветная;500;10;209
1697;Помидоры;300;5;209
1698;Сметана 10,0% жирности;100;80;209
1699;Масло подсолнечное;10;8;209
1700;Сыр Голландский;50;31;209
1701;Хек;200;167;210
1702;Яйцо куриное;50;26;210
1703;Мука пшеничная;10;29;210
1704;Масло подсолнечное;10;8;210
1705;Помидоры;400;5;211
1706;Треска;400;168;211
1707;Сок лимонный;10;40;211
1708;Сахар-песок;5;52;211
1709;Масло оливковое;5;8;211
1710;Овсяные хлопья геркулес;50;138;212
1711;Груша;100;169;212
1712;Йогурт 1,5%;100;99;212
1713;Мед натуральный (мёд);10;170;212
1714;Молоко 2,5%;30;30;212
1715;Яйцо куриное;50;26;212
1716;Хлеб зерновой;40;28;212
1717;Вода;150;7;212
1718;Куриная грудка, без кожи;80;12;213
1719;Шампиньоны;100;0;213
1720;Хлеб зерновой;100;28;213
1721;Масло оливковое;5;8;213
1722;Петрушка;10;6;213
1723;Сыр твердый (маасдам);20;31;213
1724;Яйцо куриное;180;26;214
1725;Тунец натуральный Консервы;100;33;214
1726;Укроп и другие пряные травы;30;14;214
1727;Помидоры;80;5;214
1728;Масло топленое;20;8;214
1729;Сыр Костромской;40;31;214
1730;Капуста белокочанная;100;10;215
1731;Фарш из говядины;100;114;215
1732;Сметана 15,0% жирности;50;80;215
1733;Гречневая лапша;40;100;216
1734;Масло оливковое;3;8;216
1735;Вода;40;7;216
1736;Говядина вырезка;100;82;217
1737;Капуста брюссельская;50;10;217
1738;Капуста цветная;50;10;217
1739;Морковь;50;3;217
1740;Лук репчатый;50;4;217
1741;Помидоры;100;5;217
1742;Лук репчатый;100;4;218
1743;Макароны из муки в/с;120;37;218
1744;Кальмар;100;60;218
1745;Сливки, 10,0% жирности;50;72;218
1746;Сыр твердый (маасдам);30;31;218
1747;Масло оливковое;5;8;218
1748;Креветки очищенные;100;18;218
1749;Вода;120;7;218
1750;Фарш из говядины;500;114;219
1751;Тыква;600;53;219
1752;Мука цельнозерновая;300;29;219
1753;Яйцо куриное;200;26;219
1754;Пищевая сода;5;155;219
1755;Масло оливковое;3;8;219
1756;Молоко 3,2%;300;30;219
1757;Сметана 15,0% жирности;20;80;219
1758;Рис белый;120;13;220
1759;Капуста белокочанная;400;10;220
1760;Лук репчатый;200;4;220
1761;Морковь;200;3;220
1762;Свинина вырезка;400;64;220
1763;Масло подсолнечное;5;8;220
1764;Томатная паста;100;65;220
1765;Крахмал картофельный;10;105;220
1766;Перец сладкий;400;21;221
1767;Говядина вырезка;400;82;221
1768;Гречневая крупа ядрица;80;20;221
1769;Лук репчатый;100;4;221
1770;Томатная паста;100;65;221
1771;Крахмал картофельный;5;105;221
1772;Укроп и другие пряные травы;20;14;221
1773;Тыква;300;53;222
1774;Лук репчатый;100;4;222
1775;Морковь;100;3;222
1776;Йогурт 1,5%;100;99;222
1777;Укроп и другие пряные травы;30;14;222
1778;Масло оливковое;5;8;222
1779;Соль поваренная пищевая;3;48;222
1780;Перец красный молотый;1;21;222
1781;Перец черный молотый;1;21;222
1782;Курица филе, без кожи;200;15;222
1783;Форель речная;150;113;223
1784;Лимон;50;39;223
1785;Петрушка;10;6;223
1786;Укроп и другие пряные травы;5;14;223
1787;Хлеб зерновой;100;28;224
1788;Фарш из говядины;80;114;224
1789;Салат;10;87;224
1790;Ананас консервированный;20;87;224
1791;Лук репчатый;10;4;224
1792;Имбирь корень;5;68;224
1793;Чеснок;3;11;224
1794;Соус барбекю Heinz;10;88;224
1795;Вода;500;7;225
1796;Соль поваренная пищевая;5;48;225
1797;Кукурузная крупа;200;171;225
1798;Кабачок;1800;1;226
1799;Лук репчатый;300;4;226
1800;Морковь;300;3;226
1801;Перец сладкий;500;21;226
1802;Помидоры;1000;5;226
1803;Масло подсолнечное;35;8;226
1804;Петрушка;50;6;226
1805;Кинза;50;6;226
1806;Укроп и другие пряные травы;50;14;226
1807;Чеснок;30;11;226
1808;Лук репчатый;220;4;227
1809;Морковь;110;3;227
1810;Картофель;510;2;227
1811;Шампиньоны;400;0;227
1812;Масло топленое;23;8;227
1813;Вода;200;7;227
1814;Лук репчатый;25;4;228
1815;Соль поваренная пищевая;1;48;228
1816;Фарш из говядины;400;114;228
1817;Перец черный молотый;1;21;228
1818;Яйцо куриное;70;26;228
1819;Масло подсолнечное;20;8;228
1820;Масло подсолнечное;30;8;229
1821;Перец сладкий;100;21;229
1822;Помидоры;100;5;229
1823;Кабачок;200;1;229
1824;Лук репчатый;50;4;229
1825;Укроп и другие пряные травы;10;14;230
1826;Сыр Голландский;100;31;230
1827;Сливки, 35,0% жирности;50;72;230
1828;Мука пшеничная;10;29;230
1829;Лук репчатый;120;4;230
1830;Куриная грудка, без кожи;300;12;230
1831;Масло подсолнечное;10;8;230
1832;Курица филе, без кожи;600;15;231
1833;Кабачок;300;1;231
1834;Сыр Олтермани;200;31;231
1835;Йогурт 1,5%;100;99;231
1836;Брокколи;300;99;232
1837;Вода;1000;7;232
1838;Соль поваренная пищевая;5;48;232
1839;Свинина лопаточная часть;500;64;232
1840;чечевица красная;450;32;232
1841;Соль поваренная пищевая;2;48;233
1842;Лук репчатый;100;4;233
1843;Перец черный молотый;1;21;233
1844;Картофель;800;2;233
1845;Яйцо куриное;100;26;233
1846;Вода;300;7;233
1847;Мука пшеничная;800;29;233
1848;Соль поваренная пищевая;2;48;234
1849;Картофель;1000;2;234
1850;Перец черный молотый;1;21;234
1851;Сыр Адыгейский;400;31;234
1852;Сметана 15,0% жирности;400;80;234
1853;Масло подсолнечное;20;8;234
1854;Соль поваренная пищевая;5;48;235
1855;Сыр Ламбер;150;31;235
1856;Лук зеленый;30;4;235
1857;Чеснок;15;11;235
1858;Картофель;700;2;235
1859;Курица филе, без кожи;700;15;235
1860;Майонез;200;172;235
1861;Чернослив;30;172;236
1862;Кефир 3,2% жирности;100;25;236
1863;Творог, 2 %;150;153;236
1864;Сметана 15,0% жирности;100;80;237
1865;Соль поваренная пищевая;5;48;237
1866;Масло подсолнечное;15;8;237
1867;Перец красный жгучий;5;21;237
1868;Перец красный сладкий;70;21;237
1869;Морковь;120;3;237
1870;Лук репчатый;80;4;237
1871;Кабачок;1200;1;237
1872;Рис бурый;150;13;237
1873;Свинина котлетное мясо;250;64;237
1874;Говядина котлетное мясо;250;82;237
1875;Горошек зеленый. Консервы;93;23;238
1876;Горчица столовая;5;94;238
1877;Яичный белок куриный;100;91;238
1878;Кефир 3,2% жирности;150;25;238
1879;Лук репчатый;30;4;238
1880;Огурец грунтовый;100;19;238
1881;Куриная грудка, без кожи;100;12;238
1882;Картофель;200;2;239
1883;Курица филе, без кожи;100;15;239
1884;Брокколи;200;15;240
1885;Минтай;500;112;240
1886;Картофель;300;2;240
1887;Сок лимонный;34;40;240
1888;Яйцо куриное;48;26;240
1889;Крахмал картофельный;25;105;240
1890;Соль поваренная пищевая;3;48;240
1891;Шампиньоны;450;0;241
1892;Фасоль стручковая;400;22;241
1893;Соль поваренная пищевая;3;48;241
1894;Масло подсолнечное;20;8;241
1895;Фасоль зерно;240;42;241
1896;Лук репчатый;30;4;241
1897;Чеснок;7;11;241
1898;Морковь;374;3;242
1899;Вода;800;7;242
1900;Куриная грудка, без кожи;410;12;242
1901;Рис шлифованный, Краснодар;400;13;242
1902;Лук репчатый;238;4;242
1903;Масло подсолнечное;80;8;242
1904;Морковь;50;3;243
1905;Чеснок;5;11;243
1906;Лук репчатый;63;4;243
1907;Шампиньоны;310;0;243
1908;Картофель;890;2;243
1909;Куриная грудка, без кожи;800;12;244
1910;Лук репчатый;100;4;244
1911;Картофель;200;2;244
1912;Соль поваренная пищевая;10;48;244
1913;Курица тушка;400;15;245
1914;Лук репчатый;150;4;245
1915;Яблоки;200;111;245
1916;Капуста краснокочанная;800;10;245
1917;Лавровый лист;1;51;245
1918;Перец душистый;1;21;245
1919;Соль поваренная пищевая;5;48;245
1920;Чеснок;10;11;245
1921;Масло подсолнечное;20;8;246
1922;Фасоль продовольственная;300;22;246
1923;Томатная паста 25%, Чумак;70;65;246
1924;Чеснок;30;11;246
1925;Перец красный сладкий;140;21;246
1926;Лук репчатый;95;4;246
1927;Морковь;370;3;246
1928;Вода;325;7;246
1929;Мука пшеничная;30;29;247
1930;Масло подсолнечное;40;8;247
1931;Картофель;500;2;247
1932;Масло сливочное 72%;30;8;247
1933;Яйцо куриное;110;26;247
1934;Классическое тесто для пиццы;100;173;248
1935;Сметана 15,0% жирности;30;80;248
1936;Сыр Пармезан;20;31;248
1937;Ветчина из индейки "Империя вкуса";50;154;248
1938;Лук-порей;30;4;248
1939;Масло подсолнечное;40;8;249
1940;Перец черный молотый;5;21;249
1941;Сушеный чеснок;5;11;249
1942;Соль поваренная пищевая;10;48;249
1943;Картофель;1000;2;249
1944;Масло подсолнечное;10;8;250
1945;Брокколи;200;8;250
1946;Куриная голень;600;49;250
1947;Соль поваренная пищевая;4;48;250
1948;Перец черный молотый;2;21;250
1949;Морковь;150;3;250
1950;Фарш из говядины;1000;114;251
1951;Чеснок;5;11;251
1952;Томатная паста;100;65;251
1953;Перец черный молотый;10;21;251
1954;Соль поваренная пищевая;10;48;251
1955;Вода;100;7;251
1956;Лук репчатый;100;4;251
1957;Яйцо куриное;140;26;251
1958;Масло подсолнечное;15;8;252
1959;Молоко 3,2%;20;30;252
1960;Батон нарезной;45;174;252
1961;Соль поваренная пищевая;15;48;252
1962;Яйцо куриное;65;26;252
1963;Белый гриб;260;74;252
1964;Патиссон;120;175;252
1965;Лук репчатый;280;4;252
1966;Чеснок;150;11;252
1967;Картофель;180;2;252
1968;Фарш из говядины;800;114;252
1969;Капуста белокочанная;850;10;253
1970;Томатная паста;30;65;253
1971;Масло подсолнечное;40;8;253
1972;Рис белый;150;13;253
1973;Морковь;150;3;253
1974;Лук репчатый;60;4;253
1975;Шампиньоны;300;0;253
1976;Печень свиная;575;35;254
1977;Кабачок;730;1;254
1978;Масло подсолнечное;5;8;254
1979;Лук репчатый;110;4;254
1980;Мука цельнозерновая;50;29;254
1981;Яичный белок куриный;100;91;254
1982;Укроп и другие пряные травы;3;14;255
1983;Соль поваренная пищевая;5;48;255
1984;Перец черный молотый;3;21;255
1985;Крахмал картофельный;90;105;255
1986;Майонез;75;172;255
1987;Куриная грудка, без кожи;500;12;255
1988;Масло подсолнечное;50;8;255
1989;Яйцо куриное;50;26;255
1990;Лук репчатый;150;4;255
1991;Капуста белокочанная;100;10;256
1992;Лук репчатый;25;4;256
1993;Сыр Голландский;30;31;256
1994;Сайра в масле Консервы;50;176;256
1995;Лаваш армянский, тонкий;100;176;256
1996;Сметана 10,0% жирности;20;80;256
1997;Капуста белокочанная;700;10;257
1998;Морковь;50;3;257
1999;Лук репчатый;50;4;257
2000;Масло подсолнечное;50;8;257
2001;Масло подсолнечное;50;8;258
2002;Говядина шейная часть;600;82;258
2003;Вода;800;7;258
2004;Морковь;300;3;258
2005;Картофель;300;2;258
2006;Лук репчатый;70;4;258
2007;Мука пшеничная;15;29;258
2008;Перец черный молотый;3;21;258
2009;Орех мускатный;3;27;258
2010;Масло подсолнечное;30;8;259
2011;Вода;1000;7;259
2012;Макароны из муки в/с;350;37;259
2013;Рис белый;800;13;260
2014;Яйцо куриное;180;26;260
2015;Ветчина в форме;250;154;260
2016;Сыр полутвердый (голландский);200;31;260
2017;Сметана 25% жирности;50;80;260
2018;Помидоры;120;5;260
2019;Сыр Гауда;150;31;261
2020;Сливки, 20,0% жирности;200;72;261
2021;Яйцо куриное;45;26;261
2022;Чеснок;20;11;261
2023;Лук репчатый;120;4;261
2024;Курица филе, без кожи;500;15;261
2025;Овсяные хлопья геркулес;40;138;262
2026;Яйцо куриное;107;26;262
2027;Молоко 2,5%;100;30;262
2028;Капуста белокочанная;400;10;262
2029;Масло топленое;27;8;262
2030;Шампиньоны;100;0;262
2031;Сыр Тильзитер;53;31;262
2032;Вода;200;7;262
2033;Свинина вырезка;300;64;263
2034;Вода;300;7;263
2035;Масло топленое;6;8;263
2036;Лук репчатый;201;4;263
2037;Помидоры;100;5;263
2038;Перец красный сладкий;100;21;263
2039;Морковь;50;3;263
2040;Сметана 15,0% жирности;150;80;263
2041;Кабачок;400;1;264
2042;Яйцо куриное;50;26;264
2043;Мука пшеничная;100;29;264
2044;Масло подсолнечное;60;8;264
2045;Фасоль вареная;500;22;265
2046;Морковь термообработка;50;3;265
2047;Лук репчатый, вареный;50;4;265
2048;Масло подсолнечное;45;8;266
2049;Лук репчатый;170;4;266
2050;Морковь;450;3;266
2051;Свекла;930;9;266
2052;Вода;20;7;267
2053;Хлеб пшеничный;50;28;267
2054;Яйцо куриное;280;26;267
2055;Лук репчатый;15;4;267
2056;Молоко 2,5%;50;30;267
2057;Чеснок;3;11;267
2058;Фарш из говядины;1000;114;267
2059;Масло сливочное 72%;10;8;268
2060;Соль поваренная пищевая;2;48;268
2061;Сахар-песок;10;52;268
2062;Молоко 2,5%;150;30;268
2063;Банан;80;177;268
2064;Вода;100;7;268
2065;Пшено;60;63;268
2066;Тыква;150;53;268
2067;Соль поваренная пищевая;10;48;269
2068;Вода;100;7;269
2069;Масло подсолнечное;50;8;269
2070;Лук репчатый;400;4;269
2071;Морковь;400;3;269
2072;Капуста белокочанная;700;10;269
2073;Приправа Kamis Прованские травы;3;58;269
2074;Лавровый лист;1;51;269
2075;Перец черный молотый;3;21;269
2076;Укроп и другие пряные травы;30;14;270
2077;Шампиньоны;300;0;270
2078;Лук репчатый;200;4;270
2079;Сметана 10,0% жирности;200;80;270
2080;Чеснок;30;11;270
2081;Яйцо куриное;100;26;270
2082;Перец черный молотый;6;21;270
2083;Масло подсолнечное;50;8;270
2084;Соль поваренная пищевая;7;48;270
2085;Сухари панировочные;30;38;270
2086;картофель отварной;800;2;270
2087;Лук репчатый;100;4;271
2088;Куриная грудка, без кожи;250;12;271
2089;Масло подсолнечное;50;8;271
2090;Фасоль стручковая;250;22;271
2091;Помидоры;100;5;271
2092;Перец красный сладкий;50;21;271
2093;Масло оливковое;15;8;272
2094;Соль поваренная пищевая;5;48;272
2095;Лук репчатый;30;4;272
2096;Мексиканская смесь;150;178;272
2097;Брокколи;400;178;272
2098;Шампиньоны;300;0;273
2099;Гречневая крупа ядрица;200;20;273
2100;Вода;400;7;273
2101;Чеснок;20;11;273
2102;Утка;1800;101;273
2103;Имбирь корень;10;68;274
2104;Крахмал картофельный;20;105;274
2105;Пиво;300;142;274
2106;Сок лимонный;20;40;274
2107;Соль поваренная пищевая;5;48;274
2108;Масло оливковое;20;8;274
2109;Сахар-песок;5;52;274
2110;Укроп и другие пряные травы;10;14;274
2111;Перец черный молотый;3;21;274
2112;Лук репчатый;75;4;274
2113;Говядина лопаточная часть;500;82;274
2114;Помидоры;250;5;274
2115;Рис бурый;200;13;275
2116;Вода;300;7;275
2117;Морковь;200;3;275
2118;Шампиньоны;200;0;275
2119;Чеснок;20;11;275
2120;Масло оливковое;50;8;275
2121;Крупа пшено;180;20;276
2122;Вода;400;7;276
2123;Мед натуральный (мёд);30;170;276
2124;Изюм кишмиш;60;151;276
2125;Бадьян;5;179;276
2126;Картофель;500;2;277
2127;Морковь;100;3;277
2128;Репа;150;180;277
2129;Сельдерей, корень;150;50;277
2130;Укроп и другие пряные травы;30;14;277
2131;Чеснок;20;11;277
2132;Масло оливковое;50;8;277
2133;Соль поваренная пищевая;10;48;277
2134;Перец черный молотый;4;21;277
2135;Морковь;500;3;278
2136;Чеснок;10;11;278
2137;Масло оливковое;20;8;278
2138;Перец черный горошек;5;21;278
2139;Соль поваренная пищевая;5;48;278
2140;Репа;720;180;279
2141;Масло оливковое;20;8;279
2142;Мед натуральный (мёд);35;170;279
2143;Вино десертное;200;117;279
2144;Соль поваренная пищевая;2;48;279
2145;Перец черный молотый;3;21;279
2146;Кукуруза Консервы;100;92;280
2147;Фасоль стручковая. Консервы;100;181;280
2148;Горошек замороженный;100;23;280
2149;Сыр полутвердый (голландский);100;31;280
2150;Мука пшеничная;200;29;280
2151;Кефир 2,5% жирности;300;25;280
2152;Рис белый;150;13;280
2153;Яйцо куриное;300;26;280
2154;Шампиньоны;300;0;280
2155;Огурцы соленые;180;19;281
2156;Соль поваренная пищевая;8;48;281
2157;Перец черный молотый;6;21;281
2158;Майонез;20;172;281
2159;Имбирь маринованный;5;68;281
2160;Петрушка;25;6;281
2161;Чеснок;6;11;281
2162;Сметана 20,0% жирности;50;80;281
2163;Мука пшеничная;100;29;281
2164;Сыр Пармезан;30;31;281
2165;Лук репчатый;55;4;281
2166;Картофель;100;2;281
2167;Гречневая крупа ядрица;150;20;281
2168;Соль поваренная пищевая;3;48;282
2169;Петрушка;10;6;282
2170;Перец черный молотый;3;21;282
2171;Масло сливочное 72%;20;8;282
2172;Курица филе, без кожи;200;15;282
2173;Яйцо куриное;150;26;282
2174;Батон нарезной;45;174;282
2175;Молоко 2,5%;50;30;282
2176;Лук зеленый;50;4;283
2177;Молоко 2,5%;150;30;283
2178;Масло сливочное 72%;100;8;283
2179;Соль поваренная пищевая;5;48;283
2180;Картофель;800;2;283
2181;Сметана 10,0% жирности;100;80;284
2182;Перец черный молотый;3;21;284
2183;Лавровый лист;2;51;284
2184;Фарш из говядины;200;114;284
2185;Соль поваренная пищевая;3;48;284
2186;Мука пшеничная;200;29;284
2187;Вода;120;7;284
2188;Яйцо куриное;150;26;284
2189;Укроп и другие пряные травы;20;14;284
2190;Цыплята, 1 категория;120;182;285
2191;Соль поваренная пищевая;8;48;285
2192;Масло оливковое;100;8;285
2193;Масло сливочное 72%;100;8;285
2194;Шампиньоны;350;0;285
2195;Мука пшеничная;15;29;285
2196;Белое вино;250;117;285
2197;Трюфель;250;183;285
2198;Сыр твердый (маасдам);50;31;286
2199;Перец сладкий;200;21;286
2200;Сметана 10,0% жирности;100;80;286
2201;Морковь;200;3;286
2202;Лук репчатый;200;4;286
2203;Дайкон (японская редька);200;184;286
2204;Масло подсолнечное;5;8;286
2205;Пшеничная крупа;100;20;287
2206;Вода;400;7;287
2207;Яблоки;200;111;287
2208;Масло оливковое;20;8;287
2209;Соль поваренная пищевая;5;48;288
2210;Голень цыпленка охлажденная;1000;49;288
2211;Перец черный молотый;5;21;288
2212;Морковь;150;3;288
2213;Лук репчатый;85;4;288
2214;Масло подсолнечное;50;8;288
2215;Вода;1000;7;288
2216;Соль поваренная пищевая;4;48;289
2217;Фасоль стручковая. Витамин;400;185;289
2218;Овощи. Бельгийская смесь;400;178;289
2219;Фарш индейки;1000;114;290
2220;Тимьян;20;158;290
2221;Перец черный молотый;6;21;290
2222;Перец Болгарский красный;175;21;290
2223;Чеснок;12;11;290
2224;Кинза;50;11;290
2225;Сыр Фета;120;31;290
2226;Тмин;9;120;290
2227;Соль поваренная пищевая;15;48;290
2228;Перец Болгарский зеленый;175;21;290
2229;Перец халапеньо;100;21;290
2230;Лук репчатый;45;4;290
2231;Соус острый Чили;5;88;290
2232;Масло подсолнечное;20;8;290
2233;Нут вареный;300;8;291
2234;Фасоль вареная;300;22;291
2235;Морковь термообработка;150;3;291
2236;Лук репчатый, вареный;130;4;291
2237;Судак;1500;55;292
2238;Мука пшеничная;150;29;292
2239;Масло подсолнечное;100;8;292
2240;Соль поваренная пищевая;10;48;292
2241;Лук репчатый;180;4;292
2242;Томатное пюре. Консервы;200;148;292
2243;Сметана 15,0% жирности;20;80;292
2244;Приправа для рыбы "Кнор";10;58;292
2245;Соль поваренная пищевая;3;48;293
2246;Масло оливковое;5;8;293
2247;Петрушка;50;6;293
2248;Перец красный жгучий;3;21;293
2249;Сыр Фета;100;31;293
2250;Кукурузная крупа;200;171;293
2251;Вода;400;7;293
2252;Морковь;100;3;294
2253;Вода;1200;7;294
2254;Телятина грудная часть;1000;186;294
2255;Лук репчатый;300;4;294
2256;Сельдерей черешковый;100;50;294
2257;Сливки, 20,0% жирности;30;72;294
2258;Шампиньоны;200;0;294
2259;Яичный желток куриный;50;160;294
2260;Укроп и другие пряные травы;50;14;294
2261;Масло сливочное 82%;100;8;294
2262;Мука кокосовая;30;29;294
2263;Красноперка;1000;187;295
2264;Мука пшеничная;100;29;295
2265;Соль поваренная пищевая;6;48;295
2266;Масло подсолнечное;100;8;295
2267;Лук репчатый;180;4;295
2268;Лук репчатый;180;4;296
2269;Приправа для рыбы "Кнор";10;58;296
2270;Соль поваренная пищевая;6;48;296
2271;Мука пшеничная;75;29;296
2272;Масло подсолнечное;100;8;296
2273;Сазан;1000;188;296
2274;Филе хека;650;93;297
2275;Соль поваренная пищевая;5;48;297
2276;Перец черный молотый;5;21;297
2277;Сухари панировочные;50;38;297
2278;Масло подсолнечное;30;8;297
2279;Яйцо куриное;55;26;297
2280;Хлеб пшеничный;40;28;297
2281;Лук репчатый;100;4;297
2282;Чеснок;25;11;297
2283;Фарш свинина+говядина;500;114;298
2284;Рис белый;60;13;298
2285;Лук репчатый;100;4;298
2286;Морковь;100;3;298
2287;Масло подсолнечное;50;8;298
2288;Вода;500;7;298
2289;Яйцо куриное;50;26;298
2290;Томатная паста;40;65;298
2291;Сметана 18% жирности;40;80;298
2292;Масло оливковое;50;8;299
2293;Урюк;100;189;299
2294;Изюм кишмиш;150;151;299
2295;Вода;750;7;299
2296;Чернослив;100;7;299
2297;Курага;100;150;299
2298;Рис белый;300;13;299
2299;Сахар-песок;20;52;299
2300;Яйцо куриное;100;26;299
2301;Мука пшеничная;50;29;299
2302;Перец душистый;2;21;300
2303;Соль поваренная пищевая;3;48;300
2304;Сметана 10,0% жирности;50;80;300
2305;Яйцо куриное;50;26;300
2306;Лук репчатый;150;4;300
2307;Индейка, грудка без кожи;300;71;300
2308;Брокколи;600;71;301
2309;Чеснок;7;11;301
2310;Масло подсолнечное;50;8;301
2311;Соль поваренная пищевая;3;48;301
2312;Петрушка;30;6;301
2313;Масло подсолнечное;15;8;302
2314;Лук репчатый;250;4;302
2315;Хлеб пшеничный;120;28;302
2316;Горчица столовая;20;94;302
2317;Соль поваренная пищевая;5;48;302
2318;Перец черный молотый;3;21;302
2319;Свинина лопаточная часть;350;64;302
2320;Вода;150;7;302
2321;Пиво;150;142;302
2322;Масло подсолнечное;100;8;303
2323;Вода;400;7;303
2324;Голень цыпленка охлажденная;300;49;303
2325;Соль поваренная пищевая;1;48;303
2326;Перец черный молотый;1;21;303
2327;Чеснок;1;11;303
2328;Лук репчатый;50;4;303
2329;Капуста цветная;150;10;304
2330;Масло оливковое;18;8;304
2331;Лук репчатый;30;4;304
2332;Томат грунтовый;30;90;304
2333;Соль поваренная пищевая;3;48;304
2334;Паприка;1;83;304
2335;Лук репчатый, сушеный;1;4;304
2336;Сельдерей, корень;1;50;304
2337;Карри;1;34;304
2338;Петрушка корень;1;6;304
2339;Перец красный жгучий;1;21;304
2340;Морковь сушеная;1;3;304
2341;Масло подсолнечное;50;8;305
2342;Соль поваренная пищевая;6;48;305
2343;Вода;400;7;305
2344;Лук репчатый;200;4;305
2345;Крылышко цыплят (целое);700;190;305
2346;Картофель;800;2;305
2347;Яйцо куриное;100;26;306
2348;Масло подсолнечное;18;8;306
2349;Соль поваренная пищевая;3;48;306
2350;Укроп обыкновенный;10;14;306
2351;Картофель;150;2;306
2352;Молоко 2,5%;10;30;306
2353;Тофу;200;135;307
2354;Грибы Шиитаке;20;74;307
2355;Морковь;200;3;307
2356;Лук зеленый;100;4;307
2357;Соль поваренная пищевая;3;48;307
2358;Соевый соус;20;88;307
2359;Водоросли Нори;20;136;307
2360;Масло кунжутное;10;8;307
2361;Масло оливковое;10;8;308
2362;Лук репчатый;100;4;308
2363;Морковь;100;3;308
2364;Бамия;300;191;308
2365;Помидоры;100;5;308
2366;Соль поваренная пищевая;5;48;308
2367;Перец черный молотый;2;21;308
2368;Перец черный молотый;4;21;309
2369;Лук репчатый;120;4;309
2370;Вода;250;7;309
2371;Соль поваренная пищевая;4;48;309
2372;Свиные ребрышки;1000;79;309
2373;Укроп и другие пряные травы;20;14;310
2374;Лавровый лист;2;51;310
2375;Хмели-сунели;5;86;310
2376;Соль поваренная пищевая;5;48;310
2377;Масло оливковое;30;8;310
2378;Соевый соус;30;88;310
2379;Чеснок;10;11;310
2380;Язык свиной;1000;192;310
2381;Чеснок;30;11;311
2382;Тимьян;5;158;311
2383;Масло подсолнечное;30;8;311
2384;Говяжье филе;1200;93;311
2385;Соль поваренная пищевая;10;48;312
2386;Вода;1500;7;312
2387;Отварные легкие свинины;300;64;312
2388;Укроп обыкновенный;10;14;313
2389;Соль поваренная пищевая;5;48;313
2390;Вода;100;7;313
2391;Лук зеленый;10;4;313
2392;Лук репчатый;100;4;313
2393;Опята сжемороженные;600;193;313
2394;Масло оливковое;30;8;313
2395;Перец черный молотый;3;21;314
2396;Соль поваренная пищевая;2;48;314
2397;Филе свинины;500;93;314
2398;Соль поваренная пищевая;5;48;315
2399;Петрушка;30;6;315
2400;Базилик сушеный;2;144;315
2401;Томатная паста;150;65;315
2402;Шампиньоны;400;0;315
2403;Чеснок;10;11;315
2404;Лук репчатый;100;4;315
2405;Фасоль стручковая;400;22;315
2406;Фарш из свинины;500;114;315
2407;Масло оливковое;3;8;316
2408;Соль поваренная пищевая;3;48;316
2409;Перец черный молотый;1;21;316
2410;Чеснок;2;11;316
2411;Кинза;30;11;316
2412;Гречневая крупа ядрица;140;20;316
2413;Огурец грунтовый;100;19;316
2414;Помидоры;120;5;316
2415;Фарш из свинины;500;114;317
2416;Лук репчатый;100;4;317
2417;Чеснок;10;11;317
2418;Фасоль стручковая;300;22;317
2419;Шампиньоны;300;0;317
2420;Томатная паста;100;65;317
2421;Петрушка;30;6;317
2422;Базилик сушеный;3;144;317
2423;Соль поваренная пищевая;5;48;317
2424;Макароны из муки в/с;200;37;317
2425;Куриная грудка, без кожи;600;12;318
2426;Масло оливковое;5;8;318
2427;Куркума;3;24;318
2428;Орех мускатный;2;27;318
2429;Перец красный жгучий;2;21;318
2430;Соль поваренная пищевая;3;48;318
2431;Сыр мягкий (моцарелла);50;31;319
2432;Баклажаны;50;164;319
2433;Ветчина в форме;55;154;319
2434;Петрушка;100;6;320
2435;Масло сливочное 72%;100;8;320
2436;Перец черный горошек;1;21;320
2437;Картофель;600;2;320
2438;Яблоки;200;111;320
2439;лук-шалот;300;194;320
2440;Буженина;1500;195;320
2441;Мексиканская смесь;400;178;321
2442;Масло оливковое;20;8;321
2443;Соль поваренная пищевая;5;48;321
2444;Вода;500;7;321
2445;Курица тушка;1500;15;322
2446;Яйцо куриное;500;26;322
2447;Морковь;150;3;322
2448;Капуста белокочанная;400;10;322
2449;Картофель;400;2;322
2450;Молоко 2,5%;300;30;322
2451;Соль поваренная пищевая;5;48;322
2452;Перец душистый;3;21;322
2453;Яйцо куриное;400;26;323
2454;Молоко 2,5%;400;30;323
2455;Крупа манная;80;20;323
2456;Масло сливочное 72%;10;8;323
2457;Сметана 10,0% жирности;100;80;323
2458;Соль поваренная пищевая;3;48;323
2459;Кефир 2,5% жирности;300;25;324
2460;Масло сливочное 72%;50;8;324
2461;Пищевая сода;5;155;324
2462;Соль поваренная пищевая;5;48;324
2463;Сахар-песок;10;52;324
2464;Мука пшеничная;400;29;324
2465;Говядина вырезка;400;82;324
2466;Картофель;400;2;324
2467;Лук репчатый;150;4;324
2468;Перец черный молотый;3;21;324
2469;Зира (кумин);3;116;324
