id;name;weight;lemmawordid;dishid
198;Капуста белокочанная;1000;10;26
199;Шампиньоны;500;0;26
200;Лук репчатый;200;4;26
201;Петрушка корень;70;6;26
202;Масло подсолнечное;20;8;26
203;Мука цельнозерновая;20;29;26
204;Укроп и другие пряные травы;40;14;26
205;Вода;2000;7;26
206;Морковь;60;3;26
207;Морковь;1000;3;27
208;Вода;1000;7;27
209;Лук репчатый;150;4;27
210;Чеснок;15;11;27
211;Масло подсолнечное;10;8;27
212;Орех мускатный;5;27;27
213;Укроп и другие пряные травы;40;14;27
214;Кедровый орех;40;27;27
215;Масло оливковое;10;8;28
216;Вода;500;7;28
217;Сок лимонный;20;40;28
218;Яйцо куриное;100;26;28
219;Приправа Kamis Прованские травы;3;58;28
220;Укроп и другие пряные травы;5;14;28
221;Шафран;3;59;28
222;Сок томатный;350;40;28
223;Помидоры;90;5;28
224;Перец сладкий;50;21;28
225;Чеснок;50;11;28
226;Кальмар (мясо);100;60;28
227;Креветки очищенные;80;18;28
228;Лук репчатый;80;4;28
229;Осьминог;100;61;28
230;Мидии;70;62;28
231;Морковь;75;3;28
232;Макароны из муки в/с;50;37;29
233;Фасоль в томате "Бобовая страна";100;22;29
234;Яйцо куриное;60;26;29
235;Масло подсолнечное;20;8;29
236;Лук репчатый;50;4;29
237;Морковь;100;3;29
238;Картофель;400;2;29
239;Вода;2000;7;29
240;Морковь;100;3;30
241;Лук репчатый;100;4;30
242;Гречневая крупа ядрица;200;20;30
243;Картофель;300;2;30
244;Масло подсолнечное;30;8;30
245;Укроп и другие пряные травы;20;14;30
246;Вода;2000;7;30
247;Перец белый;3;21;31
248;Вода;1000;7;31
249;Соль поваренная пищевая;3;48;31
250;Карри;3;34;31
251;Масло оливковое;5;8;31
252;Пшено;20;63;31
253;Лук репчатый;70;4;31
254;Морковь;150;3;31
255;Тыква;500;53;31
256;Картофель;400;2;32
257;Морковь;200;3;32
258;Масло подсолнечное;10;8;32
259;Лук репчатый;60;4;32
260;Вода;1800;7;32
261;Свинина лопаточная часть;500;64;32
262;Томатная паста;40;65;32
263;Перец Болгарский зеленый;40;21;32
264;Соль поваренная пищевая;10;48;32
265;Капуста белокочанная;400;10;32
266;Лавровый лист;4;51;32
267;Петрушка;20;6;32
268;Бульон грибной РОЛЛТОН;5;47;32
269;Морковь;150;3;33
270;Брокколи;25;3;33
271;Лук репчатый;75;4;33
272;Чеснок;8;11;33
273;пастернак;100;66;33
274;Масло подсолнечное;34;8;33
275;Перец черный молотый;2;21;33
276;Вода;2000;7;33
277;Перец душистый;3;21;34
278;Лавровый лист;1;51;34
279;Барбарис;10;67;34
280;Перец черный горошек;3;21;34
281;Чеснок;40;11;34
282;Лук репчатый;300;4;34
283;Соль поваренная пищевая;5;48;34
284;Вода;3000;7;34
285;Свинина лопаточная часть;500;64;34
286;Имбирь корень;10;68;34
287;Лук репчатый;100;4;35
288;Перец сладкий;50;21;35
289;Капуста белокочанная;200;10;35
290;Сельдерей черешковый;150;50;35
291;Помидоры;100;5;35
292;Вода;1000;7;35
293;Соль поваренная пищевая;5;48;35
294;Масло подсолнечное;10;8;35
295;Баранина;600;69;36
296;Вода;1200;7;36
297;Лук репчатый;100;4;36
298;Перец душистый;2;21;36
299;Соль поваренная пищевая;5;48;36
300;Лавровый лист;2;51;36
301;Укроп и другие пряные травы;50;14;36
302;Горох сушеный;230;70;37
303;Картофель;700;2;37
304;Свинина ребра конченные;500;64;37
305;Вода;2500;7;37
306;Морковь;100;3;37
307;Лук репчатый;100;4;37
308;Лавровый лист;5;51;37
309;Соль поваренная пищевая;10;48;37
310;Укроп и другие пряные травы;10;14;37
311;Масло подсолнечное;35;8;37
312;Лук репчатый;60;4;38
313;Бедро индейки;700;71;38
314;Картофель;500;2;38
315;Морковь;100;3;38
316;Вода;1500;7;38
317;Соль поваренная пищевая;20;48;38
318;Сливки, 35,0% жирности;200;72;39
319;Шампиньоны;500;0;39
320;Вода;500;7;39
321;Мука пшеничная;100;29;39
322;Масло сливочное 82%;50;8;39
323;Лук репчатый;300;4;39
324;Морковь;100;3;40
325;Масло подсолнечное;30;8;40
326;Петрушка;50;6;40
327;Лук репчатый;150;4;40
328;Картофель;450;2;40
329;Крупа перловая;50;20;40
330;Вода;2000;7;40
331;Подосиновики;300;73;40
332;Белый гриб;50;74;40
333;Вода;2000;7;41
334;Морковь;200;3;41
335;Картофель;200;2;41
336;Куриная спинка;300;75;41
337;Вода;400;7;42
338;Укроп и другие пряные травы;5;14;42
339;Морковь;20;3;42
340;Огурец соленый;50;19;42
341;Лук репчатый;15;4;42
342;Картофель;100;2;42
343;Лосось атлантический (семга);200;76;42
344;Вода;2000;7;43
345;Куриная спинка;400;75;43
346;Лук репчатый;25;4;44
347;Вода;250;7;44
348;Морковь;80;3;44
349;Сахар-песок;10;52;44
350;Соль поваренная пищевая;5;48;44
351;Томатная паста;40;65;44
352;Чечевица зерно;200;32;44
353;Масло подсолнечное;20;8;44
354;Свекла;400;9;45
355;Яйцо куриное;200;26;45
356;Огурец грунтовый;400;19;45
357;Редис;200;77;45
358;Лук зеленый;100;4;45
359;Укроп и другие пряные травы;50;14;45
360;Соль поваренная пищевая;5;48;45
361;Перец черный молотый;2;21;45
362;Кефир 2,5% жирности;500;25;45
363;Вода;500;7;45
364;Картофель;600;2;45
365;Соль поваренная пищевая;5;48;46
366;Масло подсолнечное;50;8;46
367;Томатная паста;80;65;46
368;Лук репчатый;75;4;46
369;Вода;800;7;46
370;Свинина грудинка мякоть;400;64;46
371;Капуста белокочанная;500;10;47
372;Томатная паста;60;65;47
373;Оливки. Консервы;380;78;47
374;Лимон;50;39;47
375;Масло подсолнечное;60;8;47
376;Морковь;70;3;47
377;Огурец маринованный;300;19;47
378;Лук репчатый;70;4;47
379;Свинина копченая (филе);350;64;47
380;Вода;5000;7;47
381;Вода;3000;7;48
382;Масло подсолнечное;60;8;48
383;Петрушка;15;6;48
384;Морковь;70;3;48
385;Лук репчатый;50;4;48
386;Горох сушеный;250;70;48
387;Картофель;400;2;48
388;Ребрышки копченые свиные;400;79;48
389;Огурец грунтовый;250;19;49
390;Лук зеленый;100;4;49
391;Сметана 10,0% жирности;150;80;49
392;Уксус 9%;10;81;49
393;Вода;2000;7;49
394;Свинина копченая (филе);250;64;49
395;Картофель;300;2;49
396;Яйцо куриное;200;26;49
397;Редис;50;77;49
398;Вода;3000;7;50
399;Томатная паста;50;65;50
400;Укроп и другие пряные травы;20;14;50
401;Масло подсолнечное;60;8;50
402;Свекла;250;9;50
403;Лук репчатый;50;4;50
404;Морковь;50;3;50
405;Картофель;300;2;50
406;Говядина вырезка;500;82;50
407;Капуста квашеная;500;10;50
408;Горбуша;500;16;51
409;Картофель;500;2;51
410;Лук репчатый;100;4;51
411;Вода;2000;7;51
412;Укроп обыкновенный;100;14;51
413;Паприка сушёная, молотая;5;83;52
414;Фасоль белая в томатном соусе "Глобус";400;22;52
415;Фасоль красная натуральная "Глобус";220;84;52
416;Перец сладкий;200;21;52
417;Лук репчатый, вареный;70;4;52
418;Курица (филе) вареная;1000;15;52
419;Вода;750;7;52
420;Кета натуральная Консервы;300;85;53
421;Лук репчатый;80;4;53
422;Яйцо куриное;100;26;53
423;Лук зеленый;50;4;53
424;Вода;1000;7;53
425;Укроп и другие пряные травы;20;14;53
426;СОЛЬ;10;48;54
427;ВОДА;1000;7;54
428;ПАСТА ТОМАТНАЯ "ВАШ ПОВАР";20;65;54
429;Картофель;230;2;54
430;Кабачок;182;1;54
431;*ФАСОЛЬ ОТВАРНАЯ;200;1;54
432;Помидоры;120;5;54
433;Масло подсолнечное;40;8;54
434;Перец сладкий;85;21;54
435;Морковь;85;3;54
436;Лук репчатый;85;4;54
437;Укроп и другие пряные травы;30;14;54
438;Хмели-сунели;5;86;54
439;Салат;30;87;55
440;Лук репчатый;10;4;55
441;Свинина вырезка;60;64;55
442;Говядина вырезка;70;82;55
443;Соевый соус;4;88;55
444;Вода;3000;7;56
445;Лук репчатый;50;4;56
446;Морковь;100;3;56
447;Яйцо куриное;300;26;56
448;Щавель;300;89;56
449;Куриная грудка, без кожи;300;12;56
450;Картофель;450;2;56
451;Сметана 15,0% жирности;100;80;57
452;Соль поваренная пищевая;5;48;57
453;Огурец грунтовый;68;19;57
454;Укроп и другие пряные травы;10;14;57
455;Вода;350;7;57
456;Яйцо куриное;110;26;57
457;Кефир 2,5% жирности;270;25;57
458;Лук зеленый;25;4;57
459;ЩАВЕЛЬ;55;89;57
460;Сахар-песок;3;52;58
461;Соль поваренная пищевая;3;48;58
462;Масло подсолнечное;10;8;58
463;Чеснок;5;11;58
464;Куриный бульон;1000;47;58
465;Рис белый;50;13;58
466;Чечевица зерно;100;32;58
467;Томаты консервированные целые;350;90;58
468;Лук репчатый;15;4;58
469;Куриная грудка, без кожи;300;12;59
470;Яичный белок куриный;50;91;59
471;Лук-порей;100;4;59
472;Морковь;100;3;59
473;Картофель;100;2;59
474;Чеснок;4;11;59
475;Масло оливковое;20;8;59
476;Укроп и другие пряные травы;30;14;59
477;Соль поваренная пищевая;5;48;59
478;Перец черный молотый;3;21;59
479;Вода;1000;7;59
480;Укроп обыкновенный;15;14;60
481;Соль поваренная пищевая;10;48;60
482;Карри;10;34;60
483;Масло подсолнечное;40;8;60
484;Вода;600;7;60
485;Лук репчатый;70;4;60
486;Картофель;200;2;60
487;Морковь;80;3;60
488;Кукуруза Консервы;400;92;60
489;Картофель;300;2;61
490;Морковь;100;3;61
491;Лук репчатый;70;4;61
492;Нут консервированный;300;4;61
493;Томатная паста;10;65;61
494;Вода;500;7;61
495;Филе куриное;200;93;61
496;Карри;3;34;61
497;Куркума;3;24;61
498;Чеснок;10;11;61
499;Сок лимонный;5;40;61
500;Масло оливковое;20;8;61
501;Соль поваренная пищевая;3;48;61
502;Перец черный молотый;3;21;61
503;Паприка;3;83;61
504;Петрушка;5;6;61
505;Лук зеленый;5;4;61
506;Помидоры;60;5;61
507;Соль поваренная пищевая;5;48;62
508;Перец черный молотый;5;21;62
509;Петрушка;10;6;62
510;Масло оливковое;40;8;62
511;Томатная паста;50;65;62
